line,region,ambient,year,año,specid,spcode,splatname,rep1,rep2,rep3,rep4
E4,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E6,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E7,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,0,1,NA
E8,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,1,NA
E9,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E10,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E11,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,1,1,NA
E12,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,1,0,NA
E13,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,1,NA
E14,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E15,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E16,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E17,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,1,0,NA
E19,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,0,1,NA
E21,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E22,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E23,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
E24,Estepa ,Estepa ,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
M3,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,1,0,NA
M5,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,0,0,NA
M6,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
M7,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
M8,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,1,0,NA
M9,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,1,0,0,NA
M10,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
M11,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
M12,Ecotono,Mosquetales,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM1,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM3,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM4,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM6,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM7,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM8,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM9,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM10,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
SM11,Ecotono,Sin_mosqueta,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ1,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ2,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ3,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ5,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ6,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ7,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ9,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ11,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
Ñ12,Bosque,Ñirantal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,1,NA
C1,Bosque,Cipresal,3,2009,1,OLILON,Oligoryzomys longicaudatus,0,0,0,NA
